"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"unknown","Wed Jun 19 18:31:38 GMT 2024","Wed Jun 19 18:31:38 GMT 2024","1","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testFail","testFail",""
"passed","Wed Jun 19 18:31:55 GMT 2024","Wed Jun 19 18:31:58 GMT 2024","3167","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:03 GMT 2024","Wed Jun 19 18:32:06 GMT 2024","2285","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:31:56 GMT 2024","Wed Jun 19 18:31:59 GMT 2024","2663","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:06 GMT 2024","Wed Jun 19 18:32:07 GMT 2024","1664","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:08 GMT 2024","Wed Jun 19 18:32:11 GMT 2024","2498","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:02 GMT 2024","Wed Jun 19 18:32:05 GMT 2024","2554","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:01 GMT 2024","Wed Jun 19 18:32:03 GMT 2024","1838","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:17 GMT 2024","Wed Jun 19 18:32:18 GMT 2024","1027","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Wed Jun 19 18:32:11 GMT 2024","Wed Jun 19 18:32:13 GMT 2024","2040","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:07 GMT 2024","Wed Jun 19 18:32:09 GMT 2024","2325","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:24 GMT 2024","Wed Jun 19 18:32:26 GMT 2024","1558","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Wed Jun 19 18:31:55 GMT 2024","Wed Jun 19 18:31:58 GMT 2024","3194","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:20 GMT 2024","Wed Jun 19 18:32:22 GMT 2024","2344","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:03 GMT 2024","Wed Jun 19 18:32:05 GMT 2024","2327","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:08 GMT 2024","Wed Jun 19 18:32:10 GMT 2024","2130","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:10 GMT 2024","Wed Jun 19 18:32:11 GMT 2024","1387","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testOpenBaseURL","TC-01 Open Base URL","To verify that navigating to the base URL of the website opens the correct page by checking the URL and the title of the loaded page."
"passed","Wed Jun 19 18:32:14 GMT 2024","Wed Jun 19 18:32:16 GMT 2024","1843","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:14 GMT 2024","Wed Jun 19 18:32:17 GMT 2024","2569","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:31:38 GMT 2024","Wed Jun 19 18:31:38 GMT 2024","10","Surefire suite","Surefire test","FrameworkTest","FrameworkTest","testPass","testPass",""
"passed","Wed Jun 19 18:32:00 GMT 2024","Wed Jun 19 18:32:02 GMT 2024","2260","CrossBrowser","EdgeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:31:59 GMT 2024","Wed Jun 19 18:32:01 GMT 2024","1866","CrossBrowser","ChromeTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:12 GMT 2024","Wed Jun 19 18:32:17 GMT 2024","5487","CrossBrowser","ChromeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jun 19 18:31:51 GMT 2024","Wed Jun 19 18:31:54 GMT 2024","2604","CrossBrowser","FirefoxTest","com.lumatest.test.NavigationTest","com.lumatest.test.NavigationTest","testNavigationMenu","TC-02 Top Menu Navigation","To verify that the top menu navigation on the website functions correctly by ensuring that clicking on menu items directs the user to the expected URL with the expected title."
"passed","Wed Jun 19 18:32:20 GMT 2024","Wed Jun 19 18:32:23 GMT 2024","3215","CrossBrowser","EdgeTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
"passed","Wed Jun 19 18:32:28 GMT 2024","Wed Jun 19 18:32:33 GMT 2024","4577","CrossBrowser","FirefoxTest","com.lumatest.test.ProductPageTest","com.lumatest.test.ProductPageTest","testProductDrivenBackpack","TC-03 Verify Product Details on Product Page","To verify that the product page displays the correct product name and breadcrumb menu text for the 'Driven Backpack'."
